Date,PETR4,VALE3,ITUB4,BBDC4,ABEV3
2020-03-02,10.33755111694336,15.95074462890625,20.071998596191406,7.618576526641846,25.71871566772461
2020-03-03,10.351595878601074,15.537521362304688,19.706823348999023,7.480733871459961,25.713165283203125
2020-03-04,10.751893997192383,15.707757949829102,19.89570426940918,7.721954345703125,26.94473648071289
2020-03-05,10.695712089538574,15.191905975341797,19.215726852416992,7.262487411499023,25.99054527282715
2020-03-06,10.758915901184082,14.758586883544922,18.80647850036621,6.556051731109619,24.747880935668945
2020-03-09,10.302435874938965,13.695930480957031,17.50320053100586,4.609050750732422,20.98660659790039
2020-03-10,10.126867294311523,14.026068687438965,17.937620162963867,5.042674541473389,24.85883903503418
2020-03-11,9.656339645385742,12.891192436218262,16.476919174194336,4.5516180992126465,22.6009578704834
2020-03-12,8.132391929626465,11.163081169128418,14.858814239501953,3.618320941925049,19.610797882080078
2020-03-13,8.918946266174316,13.04594612121582,16.50210189819336,4.422390937805176,23.799243927001953
2020-03-16,7.7461395263671875,11.183714866638184,14.984739303588867,3.759033679962158,21.657869338989258
2020-03-17,8.209643363952637,12.08130168914795,15.866194725036621,3.7331881523132324,23.02812385559082
2020-03-18,7.8585028648376465,10.673020362854004,14.76437759399414,3.2421295642852783,21.44150733947754
2020-03-19,8.216667175292969,10.703968048095703,14.386610984802246,3.5063247680664062,20.193296432495117
2020-03-20,8.462465286254883,9.925030708312988,13.882919311523438,3.4460198879241943,19.52203369140625
2020-03-23,8.083234786987305,9.115139961242676,12.919618606567383,3.3024353981018066,18.91734504699707
2020-03-24,7.928732395172119,10.487314224243164,14.166251182556152,3.8049798011779785,20.881202697753906
2020-03-25,8.181551933288574,11.271409034729004,14.858814239501953,4.11224889755249,22.661983489990234
